"M=MODULE"	"module_enabled"	"module_name"	""	""	""	""	""	""	""	""
"Q"	"1"	"Compare the prices of the bag. Which one is the BEST statement according to the pictures?&nbsp;"	""	"S"	"1"	"44"	"0"	"0"	"0"	"0"
"A"	"1"	"Lani’s shoes are the most expensive."	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Doni’s shoes are cheaper than Ali’s shoes"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"Ghea’s shoes are more expensive than Ali’s"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Ali’s shoes is cheaper than Doni’s."	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"What is Ronny’s reason in writing the letter?&nbsp;"	""	"S"	"1"	"45"	"0"	"0"	"0"	"0"
"A"	"1"	"Send an application."	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Advertising a post."	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Apply for a technician post."	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"Study in technology."	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Where did Ronny know the job vacancy?&nbsp;"	""	"S"	"1"	"46"	"0"	"0"	"0"	"0"
"A"	"1"	"From a company"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"From a friend"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"From a part timer"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"From an advertisement"	""	"1"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"“I am looking forward to hearing from you soon.” What is the antonym of the word soon?&nbsp;"	""	"S"	"1"	"47"	"0"	"0"	"0"	"0"
"A"	"1"	"Late"	""	"1"	"1"	""	""	""	""	""
"A"	"1"	"Early"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Rapidly"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Quickly"	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"What is the type of the text above?&nbsp;"	""	"S"	"1"	"48"	"0"	"0"	"0"	"0"
"A"	"1"	"Report"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Descriptive"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"News Item"	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"Analytical Exposition"	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"How many flight are there to and from Makassar?&nbsp;"	""	"S"	"1"	"49"	"0"	"0"	"0"	"0"
"A"	"1"	"Two"	""	"1"	"1"	""	""	""	""	""
"A"	"1"	"Ten"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Three"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"One"	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"How many passengers were injured?&nbsp;"	""	"S"	"1"	"50"	"0"	"0"	"0"	"0"
"A"	"1"	"123"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"No one"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"34"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"10"	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
